"Act of Treason",M11,R,Sorcery,,,C,{2}{R},"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. It can attack and {T} this turn.",,,1\1
"Act of Treason",M10,R,Sorcery,,,U,{2}{R},"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. It can attack and {T} this turn.",,,1\1
"Ad Nauseam",ALA,B,Instant,,,R,{3}{B}{B},"Reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost. You may repeat this process any number of times.",,,1\1
"Adamaro, First to Desire",SOK,R,Legendary Creature — Spirit,*\*,,R,{1}{R}{R},"Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.",,,1\1
"Adaptive Automaton",M12,Art,Artifact Creature — Construct,2\2,,R,{3},"As Adaptive Automaton enters the battlefield, choose a creature type.
Adaptive Automaton is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1\+1.",,,1\1
"Adarkar Wastes",10E,Lnd,Land,,,R,,"{T}: Add {1} to your mana pool.
{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.",,,1\1
"Adarkar Wastes",9E,Lnd,Land,,,R,,"{T}: Add {1} to your mana pool.
{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.",,,1\1
"Adder-Staff Boggart",LRW,R,Creature — Goblin Warrior,2\1,,C,{1}{R},"When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1\+1 counter on Adder-Staff Boggart. Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.",,,1\1
"Admonition Angel",WWK,W,Creature — Angel,6\6,,M,{3}{W}{W}{W},"Flying
Landfall — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.
When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.",,,1\1
"Advanced Hoverguard",FD,U,Creature — Drone,2\2,,C,{3}{U},"Flying
{U}: Advanced Hoverguard gains shroud until end of turn. It can't be the target of spells or abilities.",,,1\1
"Adventuring Gear",ZEN,Art,Artifact — Equipment,,,C,{1},"Landfall — Whenever a land enters the battlefield under your control, equipped creature gets +2\+2 until end of turn.
Equip {1} {1}: Attach to target creature you control. Equip only as a sorcery.",,,1\1
"Advice from the Fae",SHM,U,Sorcery,,,U,{2U}{2U}{2U},"{2u} can be paid with any two mana or with {U}. This card's converted mana cost is 6.
Look at the top five cards of your library. If you control more creatures than each other player, put two of those cards into your hand. Otherwise, put one of them into your hand. Then put the rest on the bottom of your library in any order.",,,1\1
"Aegis Angel",M12,W,Creature — Angel,5\5,,R,{4}{W}{W},"Flying
When Aegis Angel enters the battlefield, another target permanent is indestructible for as long as you control Aegis Angel. Effects that say 'destroy' don't destroy that permanent. An indestructible creature can't be destroyed by damage.",,,1\1
"Aeon Chronicler",PLC,U,Creature — Avatar,*\*,,R,{3}{U}{U},"Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.
Suspend X—{X}{3}{U}. X can't be 0. Rather than cast this card from your hand, you may pay {X}{3}{U} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.
Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.",,,1\1
"Aerie Mystics",CFX,W,Creature — Bird Wizard,3\3,,U,{4}{W},"Flying
{1}{G}{U}: Creatures you control gain shroud until end of turn.",,,1\1
"Aerie Ouphes",EVE,G,Creature — Ouphe,3\3,,C,{4}{G},"Sacrifice Aerie Ouphes: Aerie Ouphes deals damage equal to its power to target creature with flying.
Persist When this creature dies, if it had no -1\-1 counters on it, return it to the battlefield under its owner's control with a -1\-1 counter on it.",,,1\1
"Aether Adept",M12,U,Creature — Human Wizard,2\2,,C,{1}{U}{U},"When Æther Adept enters the battlefield, return target creature to its owner's hand.",,,1\1
"Aether Adept",M11,U,Creature — Human Wizard,2\2,,C,{1}{U}{U},"When Æther Adept enters the battlefield, return target creature to its owner's hand.",,,1\1
"Aether Figment",ZEN,U,Creature — Illusion,1\1,,U,{1}{U},"Kicker {3} You may pay an additional {3} as you cast this spell.
Æther Figment is unblockable.
If Æther Figment was kicked, it enters the battlefield with two +1\+1 counters on it.",,,1\1
"Aether Membrane",PLC,R,Creature — Wall,0\5,,U,{1}{R}{R},"Defender; reach This creature can block creatures with flying.
Whenever Æther Membrane blocks a creature, return that creature to its owner's hand at end of combat.",,,1\1
"Aether Shockwave",SOK,W,Instant,,,U,{3}{W},"Choose one — Tap all Spirits; or tap all non-Spirit creatures.",,,1\1
"Aether Snap",DS,B,Sorcery,,,R,{3}{B}{B},"Remove all counters from all permanents and exile all tokens.",,,1\1
"Aether Spellbomb",MR,Art,Artifact,,,C,{1},"{U}, Sacrifice Æther Spellbomb: Return target creature to its owner's hand.
{1}, Sacrifice Æther Spellbomb: Draw a card.",,,1\1
"Aether Tradewinds",WWK,U,Instant,,,C,{2}{U},"Return target permanent you control and target permanent you don't control to their owners' hands.",,,1\1
"Aether Web",TSP,G,Enchantment — Aura,,,C,{1}{G},"Flash You may cast this spell any time you could cast an instant.
Enchant creature
Enchanted creature gets +1\+1, has reach, and can block creatures with shadow as though they didn't have shadow. Creatures with reach can block creatures with flying.",,,1\1
"Aether Vial",DS,Art,Artifact,,,U,{1},"At the beginning of your upkeep, you may put a charge counter on Æther Vial.
{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Æther Vial from your hand onto the battlefield.",,,1\1
"Aetherflame Wall",TSP,R,Creature — Wall,0\4,,C,{1}{R},"Defender
Ætherflame Wall can block creatures with shadow as though they didn't have shadow.
{R}: Ætherflame Wall gets +1\+0 until end of turn.",,,1\1
"Aethermage's Touch",DIS,Gld,Instant,,,R,{2}{W}{U},"Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. It has 'At the beginning of your end step, return this creature to its owner's hand.' Then put the rest of the cards revealed this way on the bottom of your library in any order.",,,1\1
"Aetherplasm",GP,U,Creature — Illusion,1\1,,U,{2}{U}{U},"Whenever Ætherplasm blocks a creature, you may return Ætherplasm to its owner's hand. If you do, you may put a creature card from your hand onto the battlefield blocking that creature.",,,1\1
"Aethersnipe",LRW,U,Creature — Elemental,4\4,,C,{5}{U},"When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.
Evoke {1}{U}{U} You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.",,,1\1
"Aethertow",SHM,Gld,Instant,,,C,{3}{WU},"Put target attacking or blocking creature on top of its owner's library.
Conspire As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.",,,1\1
"Affa Guard Hound",ROE,W,Creature — Hound,2\2,,U,{2}{W},"Flash
When Affa Guard Hound enters the battlefield, target creature gets +0\+3 until end of turn.",,,1\1
"Afflict",10E,B,Instant,,,C,{2}{B},"Target creature gets -1\-1 until end of turn.
Draw a card.",,,1\1
"Agadeem Occultist",WWK,B,Creature — Human Shaman Ally,0\2,,R,{2}{B},"{T}: Put target creature card from an opponent's graveyard onto the battlefield under your control if its converted mana cost is less than or equal to the number of Allies you control.",,,1\1
"Ageless Entity",DS,G,Creature — Elemental,4\4,,R,{3}{G}{G},"Whenever you gain life, put that many +1\+1 counters on Ageless Entity.",,,1\1
"Agent of Masks",GP,Gld,Creature — Human Advisor,2\3,,U,{3}{W}{B},"At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.",,,1\1
"Aggressive Urge",10E,G,Instant,,,C,{1}{G},"Target creature gets +1\+1 until end of turn.
Draw a card.",,,1\1
"Agonizing Memories",10E,B,Sorcery,,,U,{2}{B}{B},"Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.",,,1\1
"Agony Warp",ALA,Gld,Instant,,,C,{U}{B},"Target creature gets -3\-0 until end of turn.
Target creature gets -0\-3 until end of turn.",,,1\1
"Agrus Kos, Wojek Veteran",RAV,Gld,Legendary Creature — Human Soldier,3\3,,R,{3}{R}{W},"Whenever Agrus Kos, Wojek Veteran attacks, attacking red creatures get +2\+0 and attacking white creatures get +0\+2 until end of turn.",,,1\1
"Air Elemental",M10,U,Creature — Elemental,4\4,,U,{3}{U}{U},"Flying",,,1\1
"Air Elemental",10E,U,Creature — Elemental,4\4,,U,{3}{U}{U},"Flying",,,1\1
"Air Elemental",9E,U,Creature — Elemental,4\4,,U,{3}{U}{U},"Flying",,,1\1
"Air Elemental",8E,U,Creature — Elemental,4\4,,U,{3}{U}{U},"Flying",,,1\1
"Air Servant",M11,U,Creature — Elemental,4\3,,U,{4}{U},"Flying
{2}{U}: Tap target creature with flying.",,,1\1
"Ajani Goldmane",M11,W,Planeswalker — Ajani,\4,,M,{2}{W}{W},"+1: You gain 2 life.
-1: Put a +1\+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
-6: Put a white Avatar creature token onto the battlefield. It has 'This creature's power and toughness are each equal to your life total.'",,,1\1
"Ajani Goldmane",M10,W,Planeswalker — Ajani,\4,,M,{2}{W}{W},"+1: You gain 2 life.
-1: Put a +1\+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
-6: Put a white Avatar creature token onto the battlefield. It has 'This creature's power and toughness are each equal to your life total.'",,,1\1
"Ajani Goldmane",LRW,W,Planeswalker — Ajani,\4,,R,{2}{W}{W},"+1: You gain 2 life.
-1: Put a +1\+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
-6: Put a white Avatar creature token onto the battlefield. It has 'This creature's power and toughness are each equal to your life total.'",,,1\1
"Ajani Vengeant",ALA,Gld,Planeswalker — Ajani,\3,,M,{2}{R}{W},"+1: Target permanent doesn't untap during its controller's next untap step.
-2: Ajani Vengeant deals 3 damage to target creature or player and you gain 3 life.
-7: Destroy all lands target player controls.",,,1\1
"Ajani's Mantra",M11,W,Enchantment,,,C,{1}{W},"At the beginning of your upkeep, you may gain 1 life.",,,1\1
"Ajani's Pridemate",M11,W,Creature — Cat Soldier,2\2,,U,{1}{W},"Whenever you gain life, you may put a +1\+1 counter on Ajani's Pridemate. For example, if an effect causes you to gain 3 life, you may put one +1\+1 counter on this creature.",,,1\1
"Akki Avalanchers",CHK,R,Creature — Goblin Warrior,1\1,,C,{R},"Sacrifice a land: Akki Avalanchers gets +2\+0 until end of turn. Activate this ability only once each turn.",,,1\1
"Akki Blizzard-Herder",BOK,R,Creature — Goblin Shaman,1\1,,C,{1}{R},"When Akki Blizzard-Herder dies, each player sacrifices a land.",,,1\1
"Akki Coalflinger",CHK,R,Creature — Goblin Shaman,2\2,,U,{1}{R}{R},"First strike
{R}, {T}: Attacking creatures gain first strike until end of turn.",,,1\1
"Akki Drillmaster",SOK,R,Creature — Goblin Shaman,2\2,,C,{2}{R},"{T}: Target creature gains haste until end of turn.",,,1\1
"Akki Lavarunner",CHK,R,Creature — Goblin Warrior,1\1,,R,{3}{R},"Haste
Whenever Akki Lavarunner deals damage to an opponent, flip it.",,,1\1
"Akki Raider",BOK,R,Creature — Goblin Warrior,2\1,,U,{1}{R},"Whenever a land is put into a graveyard from the battlefield, Akki Raider gets +1\+0 until end of turn.",,,1\1
"Akki Rockspeaker",CHK,R,Creature — Goblin Shaman,1\1,,C,{1}{R},"When Akki Rockspeaker enters the battlefield, add {R} to your mana pool.",,,1\1
"Akki Underling",SOK,R,Creature — Goblin Warrior,2\1,,C,{1}{R},"As long as you have seven or more cards in hand, Akki Underling gets +2\+1 and has first strike.",,,1\1
"Akki Underminer",CHK,R,Creature — Goblin Rogue Shaman,1\1,,U,{3}{R},"Whenever Akki Underminer deals combat damage to a player, that player sacrifices a permanent.",,,1\1
"Akoum Battlesinger",WWK,R,Creature — Human Berserker Ally,1\1,,C,{1}{R},"Haste
Whenever Akoum Battlesinger or another Ally enters the battlefield under your control, you may have Ally creatures you control get +1\+0 until end of turn.",,,1\1
"Akoum Boulderfoot",ROE,R,Creature — Giant Warrior,4\5,,U,{4}{R}{R},"When Akoum Boulderfoot enters the battlefield, it deals 1 damage to target creature or player.",,,1\1
"Akoum Refuge",ZEN,Lnd,Land,,,U,,"Akoum Refuge enters the battlefield tapped.
When Akoum Refuge enters the battlefield, you gain 1 life.
{T}: Add {B} or {R} to your mana pool.",,,1\1
"Akrasan Squire",ALA,W,Creature — Human Soldier,1\1,,C,{W},"Exalted Whenever a creature you control attacks alone, that creature gets +1\+1 until end of turn.",,,1\1
"Akroma, Angel of Fury",PLC,R,Legendary Creature — Angel,6\6,,R,{5}{R}{R}{R},"Akroma, Angel of Fury can't be countered.
Flying, trample, protection from white and from blue
{R}: Akroma, Angel of Fury gets +1\+0 until end of turn.
Morph {3}{R}{R}{R} You may cast this face down as a 2\2 creature for {3}. Turn it face up any time for its morph cost.",,,1\1
"Akroma, Angel of Wrath",TSB,W,Legendary Creature — Angel,6\6,,R,{5}{W}{W}{W},"Flying, first strike, vigilance, trample, haste, protection from black and from red",,,1\1
"Akroma's Memorial",FUT,Art,Legendary Artifact,,,R,{7},"Creatures you control have flying, first strike, vigilance, trample, haste, and protection from black and from red.",,,1\1
"Akuta, Born of Ash",SOK,B,Legendary Creature — Spirit,3\2,,R,{2}{B}{B},"Haste
At the beginning of your upkeep, if you have more cards in hand than each opponent, you may sacrifice a Swamp. If you do, return Akuta, Born of Ash from your graveyard to the battlefield.",,,1\1
"Alabaster Mage",M12,W,Creature — Human Wizard,2\1,,U,{1}{W},"{1}{W}: Target creature you control gains lifelink until end of turn. Damage dealt by the creature also causes its controller to gain that much life.",,,1\1
"Aladdin's Ring",9E,Art,Artifact,,,R,{8},"{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.",,,1\1
"Aladdin's Ring",8E,Art,Artifact,,,R,{8},"{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.",,,1\1
"Algae Gharial",ALA,G,Creature — Crocodile,1\1,,U,{3}{G},"Shroud
Whenever another creature dies, you may put a +1\+1 counter on Algae Gharial.",,,1\1
"All Is Dust",ROE,Art,Tribal Sorcery — Eldrazi,,,M,{7},"Each player sacrifices all colored permanents he or she controls.",,,1\1
"All Suns' Dawn",FD,G,Sorcery,,,R,{4}{G},"For each color, return up to one target card of that color from your graveyard to your hand. Exile All Suns' Dawn.",,,1\1
"Alloy Myr",NPH,Art,Artifact Creature — Myr,2\2,,U,{3},"{T}: Add one mana of any color to your mana pool.",,,1\1
"Alluring Siren",M12,U,Creature — Siren,1\1,,U,{1}{U},"{T}: Target creature an opponent controls attacks you this turn if able.",,,1\1
"Alluring Siren",M11,U,Creature — Siren,1\1,,U,{1}{U},"{T}: Target creature an opponent controls attacks you this turn if able.",,,1\1
"Alluring Siren",M10,U,Creature — Siren,1\1,,U,{1}{U},"{T}: Target creature an opponent controls attacks you this turn if able.",,,1\1
"Alpha Myr",MR,Art,Artifact Creature — Myr,2\1,,C,{2},"

Rules Text:",,,1\1
"Alpha Tyrranax",SOM,G,Creature — Beast,6\5,,C,{4}{G}{G},"

Rules Text:",,,1\1
"Altar Golem",EVE,Art,Artifact Creature — Golem,*\*,,R,{7},"Trample
Altar Golem's power and toughness are each equal to the number of creatures on the battlefield.
Altar Golem doesn't untap during your untap step.
Tap five untapped creatures you control: Untap Altar Golem.",,,1\1
"Altar of Shadows",MR,Art,Artifact,,,R,{7},"At the beginning of your precombat main phase, add {B} to your mana pool for each charge counter on Altar of Shadows.
{7}, {T}: Destroy target creature. Then put a charge counter on Altar of Shadows.",,,1\1
"Altar's Light",MR,W,Instant,,,U,{2}{W}{W},"Exile target artifact or enchantment.",,,1\1
"Altar's Reap",ISD,B,Instant,,,C,{1}{B},"As an additional cost to cast Altar's Reap, sacrifice a creature.
Draw two cards.",,,1\1
"Ambassador Laquatus",10E,U,Legendary Creature — Merfolk Wizard,1\3,,R,{1}{U}{U},"{3}: Target player puts the top three cards of his or her library into his or her graveyard.",,,1\1
"Ambassador Oak",MOR,G,Creature — Treefolk Warrior,3\3,,C,{3}{G},"When Ambassador Oak enters the battlefield, put a 1\1 green Elf Warrior creature token onto the battlefield.",,,1\1
"Ambition's Cost",8E,B,Sorcery,,,U,{3}{B},"You draw three cards and you lose 3 life.",,,1\1
"Ambush Viper",ISD,G,Creature — Snake,2\1,,C,{1}{G},"Flash You may cast this spell any time you could cast an instant.
Deathtouch Any amount of damage this deals to a creature is enough to destroy it.",,,1\1
"Amoeboid Changeling",LRW,U,Creature — Shapeshifter,1\1,,C,{1}{U},"Changeling This card is every creature type at all times.
{T}: Target creature gains all creature types until end of turn.
{T}: Target creature loses all creature types until end of turn.",,,1\1
"Amphin Cutthroat",M12,U,Creature — Salamander Rogue,2\4,,C,{3}{U},"

Rules Text:",,,1\1
"Amrou Scout",TSP,W,Creature — Kithkin Rebel Scout,2\1,,C,{1}{W},"{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.",,,1\1
"Amrou Seekers",TSP,W,Creature — Kithkin Rebel,2\2,,C,{2}{W},"Amrou Seekers can't be blocked except by artifact creatures and\or white creatures.",,,1\1
"Amulet of Vigor",WWK,Art,Artifact,,,R,{1},"Whenever a permanent enters the battlefield tapped and under your control, untap it.",,,1\1
"Ana Battlemage",PLC,G,Creature — Human Wizard,2\2,,U,{2}{G},"Kicker {2}{U} and\or {1}{B} You may pay an additional {2}{U} and\or {1}{B} as you cast this spell.
When Ana Battlemage enters the battlefield, if it was kicked with its {2}{U} kicker, target player discards three cards.
When Ana Battlemage enters the battlefield, if it was kicked with its {1}{B} kicker, tap target untapped creature and that creature deals damage equal to its power to its controller.",,,1\1
"Anaba Bodyguard",10E,R,Creature — Minotaur,2\3,,C,{3}{R},"First strike This creature deals combat damage before creatures without first strike.",,,1\1
"Anaba Shaman",9E,R,Creature — Minotaur Shaman,2\2,,C,{3}{R},"{R}, {T}: Anaba Shaman deals 1 damage to target creature or player.",,,1\1
"Anaba Shaman",8E,R,Creature — Minotaur Shaman,2\2,,C,{3}{R},"{R}, {T}: Anaba Shaman deals 1 damage to target creature or player.",,,1\1
"Anaconda",9E,G,Creature — Snake,3\3,,U,{3}{G},"Swampwalk This creature is unblockable as long as defending player controls a Swamp.",,,1\1
"Anarchist",9E,R,Creature — Human Wizard,2\2,,U,{4}{R},"When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.",,,1\1
"Anathemancer",ARB,Gld,Creature — Zombie Wizard,2\2,,U,{1}{B}{R},"When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.
Unearth {5}{B}{R} {5}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.",,,1\1
"Ancestor's Chosen",10E,W,Creature — Human Cleric,4\4,,U,{5}{W}{W},"First strike This creature deals combat damage before creatures without first strike.
When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.",,,1\1
"Ancestral Vision",TSP,U,Sorcery,,,R,,"Suspend 4—{U} Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.
Target player draws three cards.",,,1\1
"Ancient Amphitheater",LRW,Lnd,Land,,,R,,"As Ancient Amphitheater enters the battlefield, you may reveal a Giant card from your hand. If you don't, Ancient Amphitheater enters the battlefield tapped.
{T}: Add {R} or {W} to your mana pool.",,,1\1
"Ancient Den",MR,Lnd,Artifact Land,,,C,,"Ancient Den isn't a spell.
{T}: Add {W} to your mana pool.",,,1\1
"Ancient Grudge",ISD,R,Instant,,,C,{1}{R},"Destroy target artifact.
Flashback {G} You may cast this card from your graveyard for its flashback cost. Then exile it.",,,1\1
"Ancient Grudge",TSP,R,Instant,,,C,{1}{R},"Destroy target artifact.
Flashback {G} You may cast this card from your graveyard for its flashback cost. Then exile it.",,,1\1
"Ancient Hellkite",M11,R,Creature — Dragon,6\6,,R,{4}{R}{R}{R},"Flying
{R}: Ancient Hellkite deals 1 damage to target creature defending player controls. Activate this ability only if Ancient Hellkite is attacking.",,,1\1
"Ancient Silverback",9E,G,Creature — Ape,6\5,,R,{4}{G}{G},"{G}: Regenerate Ancient Silverback. The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.",,,1\1
"Ancient Stirrings",ROE,G,Sorcery,,,C,{G},"Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order. Cards with no colored mana in their mana costs are colorless. Lands are also colorless.",,,1\1
"Ancient Ziggurat",CFX,Lnd,Land,,,U,,"{T}: Add one mana of any color to your mana pool. Spend this mana only to cast creature spells.",,,1\1
"Angel of Despair",GP,Gld,Creature — Angel,5\5,,R,{3}{W}{W}{B}{B},"Flying
When Angel of Despair enters the battlefield, destroy target permanent.",,,1\1
"Angel of Flight Alabaster",ISD,W,Creature — Angel,4\4,,R,{4}{W},"Flying
At the beginning of your upkeep, return target Spirit card from your graveyard to your hand.",,,1\1
"Angel of Mercy",10E,W,Creature — Angel,3\3,,U,{4}{W},"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",,,1\1
"Angel of Mercy",9E,W,Creature — Angel,3\3,,U,{4}{W},"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",,,1\1
"Angel of Mercy",8E,W,Creature — Angel,3\3,,U,{4}{W},"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",,,1\1
"Angel of Salvation",FUT,W,Creature — Angel,5\5,,R,{6}{W}{W},"Flash; convoke Each creature you tap while casting this spell reduces its cost by {1} or by one mana of that creature's color.
Flying
When Angel of Salvation enters the battlefield, prevent the next 5 damage that would be dealt this turn to any number of target creatures and\or players, divided as you choose.",,,1\1
"Angelheart Vial",ROE,Art,Artifact,,,R,{5},"Whenever you're dealt damage, you may put that many charge counters on Angelheart Vial.
{2}, {T}, Remove four charge counters from Angelheart Vial: You gain 2 life and draw a card.",,,1\1
"Angelic Arbiter",M11,W,Creature — Angel,5\6,,R,{5}{W}{W},"Flying
Each opponent who cast a spell this turn can't attack with creatures.
Each opponent who attacked with a creature this turn can't cast spells.",,,1\1
"Angelic Benediction",ALA,W,Enchantment,,,U,{3}{W},"Exalted Whenever a creature you control attacks alone, that creature gets +1\+1 until end of turn.
Whenever a creature you control attacks alone, you may tap target creature.",,,1\1
"Angelic Blessing",10E,W,Sorcery,,,C,{2}{W},"Target creature gets +3\+3 and gains flying until end of turn. It can't be blocked except by creatures with flying or reach.",,,1\1
"Angelic Blessing",9E,W,Sorcery,,,C,{2}{W},"Target creature gets +3\+3 and gains flying until end of turn. It can't be blocked except by creatures with flying or reach.",,,1\1
"Angelic Chorus",10E,W,Enchantment,,,R,{3}{W}{W},"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.",,,1\1
"Angelic Destiny",M12,W,Enchantment — Aura,,,M,{2}{W}{W},"Enchant creature
Enchanted creature gets +4\+4, has flying and first strike, and is an Angel in addition to its other types.
When enchanted creature dies, return Angelic Destiny to its owner's hand.",,,1\1
"Angelic Overseer",ISD,W,Creature — Angel,5\3,,M,{3}{W}{W},"Flying
As long as you control a Human, Angelic Overseer has hexproof and is indestructible.",,,1\1
"Angelic Page",8E,W,Creature — Angel Spirit,1\1,,C,{1}{W},"Flying
{T}: Target attacking or blocking creature gets +1\+1 until end of turn.",,,1\1
"Angelic Wall",10E,W,Creature — Wall,0\4,,C,{1}{W},"Defender, flying This creature can't attack, and it can block creatures with flying.",,,1\1
"Angel's Feather",M12,Art,Artifact,,,U,{2},"Whenever a player casts a white spell, you may gain 1 life.",,,1\1
"Angel's Feather",M11,Art,Artifact,,,U,{2},"Whenever a player casts a white spell, you may gain 1 life.",,,1\1
